feature,importance_mean,importance_std
county,0.5442263126221526,0.003389524714797439
property_type,0.420223002840119,0.008167977866567974
district,0.08383586574584934,0.0024403661418216033
town_city,0.08078983273409139,0.0020947177535985103
year,0.03833600610179624,0.002968928516583509
month,0.001536614280180193,0.0005855521329635127
